Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
SJ1ACA10,"MEN CLASSIC 10, FORMULA ONE0TWILIGHT",5,0,0,0,0,0,0,,0,0
SJ1ACA11,"MEN CLASSIC 11, FORST GRAY0DAZZLING",0,0,0,0,0,0,0,,0,0
SJ1ACA12,"MEN CLASSIC 12, PERSIMON ORANGE0HAZEL",0,0,0,0,0,0,0,,0,0
SJ1ACA13,"MEN CLASSIC 13, REGGATA0TAWNY PORT",5,0,0,0,0,0,0,,0,0
SJ1ACA14,"MEN CLASSIC 14, DELF0CLASSIC GREEN",5,0,0,0,0,0,0,,0,0
SJ1ACA15,"MEN CLASSIC 15, DELF0CARROT",0,0,0,0,0,0,0,,0,0
SJ1ACA16,"MEN CLASSIC 16, TWILIGHT0JASMINE GREEN",5,0,0,0,0,0,0,,0,0
SJ1ACA17,"MEN CLASSIC 17, BLACK0PEACOCK BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA18,"MEN CLASSIC 18, CALESTIAL0LIMOGES",5,0,0,0,0,0,0,,0,0
SJ1ACA19,"MEN CLASSIC 19, DRIZZLE0ORANGE",5,0,0,0,0,0,0,,0,0
SJ1ACA20,"MEN CLASSIC 20, GRAY0LIME GREEN",5,0,0,0,0,0,0,,0,0
